session people time duration ID_full ID noHp flow id_flow id_flow_full
1.FA2 Estelle 1007.033 6.00099999999998 1.FA2.09 9 1 7 9_1_7 1.FA2.09_1_7
1.FA2 Estelle 1013.035 9.99700000000007 1.FA2.09 9 1 6 9_1_6 1.FA2.09_1_6
1.FA2 Estelle 1023.033 6 1.FA2.09 9 1 4 9_1_4 1.FA2.09_1_4
1.FA2 Estelle 1029.034 4.49900000000002 1.FA2.09 9 1 5 9_1_5 1.FA2.09_1_5
1.FA2 Estelle 1040.035 9.49900000000002 1.FA2.09 9 1 3 9_1_3 1.FA2.09_1_3
1.FA2 Estelle 1049.535 6.49700000000007 1.FA2.09 9 1 2 9_1_2 1.FA2.09_1_2
1.FA2 Estelle 1056.033 20.999 1.FA2.09 9 1 1 9_1_1 1.FA2.09_1_1
1.FA2 Estelle 1080.534 10.498 1.FA2.05 5 1 2 5_1_2 1.FA2.05_1_2
1.FA2 Estelle 1091.033 10 1.FA2.05 5 1 5 5_1_5 1.FA2.05_1_5
1.FA2 Estelle 1101.034 9.5 1.FA2.05 5 1 2 5_1_2 1.FA2.05_1_2
1.FA2 Estelle 1111.536 3.99800000000005 1.FA2.09 9 1 7 9_1_7 1.FA2.09_1_7
1.FA2 Estelle 1116.533 6 1.FA2.05 5 1 1 5_1_1 1.FA2.05_1_1
1.FA2 Estelle 1125.535 2.99900000000002 1.FA2.05 5 1 2 5_1_2 1.FA2.05_1_2
1.FA2 Estelle 1133.337 10.002 1.FA2.05 5 1 3 5_1_3 1.FA2.05_1_3
1.FA2 Estelle 1145.338 15.498 1.FA2.05 5 1 1 5_1_1 1.FA2.05_1_1
1.FA2 Estelle 1162.838 6.5 1.FA2.09 9 1 7 9_1_7 1.FA2.09_1_7
1.FA2 Estelle 1169.339 1.90100000000007 1.FA2.09 9 1 4 9_1_4 1.FA2.09_1_4
1.FA2 Estelle 1171.241 6.99800000000005 1.FA2.05 5 3 2 5_3_2 1.FA2.05_3_2
1.FA2 Estelle 1186.739 5.00099999999998 1.FA2.07 7 1 1 7_1_1 1.FA2.07_1_1
1.FA2 Estelle 1191.741 2.49800000000005 1.FA2.07 7 1 3 7_1_3 1.FA2.07_1_3
1.FA2 Estelle 1195.241 9.05600000000004 1.FA2.08 8 2 3 8_2_3 1.FA2.08_2_3
1.FA2 Estelle 1204.298 8.40099999999984 1.FA2.08 8 3 3 8_3_3 1.FA2.08_3_3
